2020-04-09 09:57:57.703[main][main] INFO  c.e.a.mapper.MessageMapperTest - 查询到的记录：Message(msgId=5, msgText=computer, msgSummary=)
2020-04-09 09:57:57.703[main][main] INFO  c.e.a.mapper.MessageMapperTest - 查询到的记录：Message(msgId=6, msgText=兔子, msgSummary=动物)
2020-04-09 09:57:57.703[main][main] INFO  c.e.a.mapper.MessageMapperTest - 查询到的记录：Message(msgId=7, msgText=小狼, msgSummary=动物)
2020-04-09 09:57:57.704[main][main] INFO  c.e.a.mapper.MessageMapperTest - 查询到的记录：Message(msgId=8, msgText=荷花, msgSummary=夏天)
2020-04-09 09:57:57.705[main][main] INFO  c.e.a.mapper.MessageMapperTest - 查询到的记录：Message(msgId=9, msgText=兔子, msgSummary=动物)
2020-04-09 09:57:57.705[main][main] INFO  c.e.a.mapper.MessageMapperTest - 查询到的记录：Message(msgId=10, msgText=小狼, msgSummary=动物)
2020-04-09 09:57:57.706[main][main] INFO  c.e.a.mapper.MessageMapperTest - 查询到的记录：Message(msgId=11, msgText=学习, msgSummary=study)
2020-04-09 09:57:57.717[main][main] INFO  c.e.a.mapper.MessageMapperTest - id为1的数据：Message(msgId=3, msgText=小狼, msgSummary=null)
2020-04-09 09:57:57.731[main][main] INFO  c.e.a.mapper.MessageMapperTest - 删除的数据条数：1
2020-04-09 09:57:57.857[main][main] INFO  c.e.a.mapper.MessageMapperTest - 更新的数据条数：1
2020-04-09 09:57:57.866[main][main] INFO  c.e.a.mapper.MessageMapperTest - 更新Text的数据条数：1
2020-04-09 09:57:57.890[main][main] INFO  c.e.a.mapper.MessageMapperTest - 插入的数据条数：2
2020-04-09 09:57:57.906[SpringContextShutdownHook][SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2020-04-09 09:57:57.931[SpringContextShutdownHook][SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
